"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","b_game","b_hit_by_pitch","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","wobadiff","fast_swing_rate","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Correa, Carlos",621043,2020,25,201,221,53,39,9,0,5,49,16,22.2,7.2,".264",".383",".326","0.709","0.119",".324","25","58","3",".249",".397",".308",".311",".315",".148",".362",".367",".346",".331",".015","-0.014","-0.003",,26.1,5.9,42.1,"99.799884079","94.072529338",24.4,47.1
"Smith, Dominic",642086,2020,25,177,199,56,24,21,1,10,45,14,22.6,7,".316",".616",".377","0.993","0.300",".368","42","50","5",".303",".566",".412",".392",".365",".264",".508",".480",".415",".398",".013",".050",".020",,43,13.3,46.7,"100.278953134","94.610905149",26,51.9
"Dozier, Hunter",641531,2020,28,158,186,36,24,4,2,6,48,27,25.8,14.5,".228",".392",".344","0.736","0.164",".288","12","44","1",".235",".385",".326",".331",".351",".150",".374",".381",".327",".338","-0.007",".007","-0.005",,26.4,8.2,30.9,"98.298979455","93.253164404",30.9,41.9
"Seager, Kyle",572122,2020,32,203,248,49,28,12,0,9,33,32,13.3,12.9,".241",".433",".355","0.788","0.192",".240","40","60","7",".252",".472",".338",".365",".371",".220",".326",".364",".278",".301","-0.011","-0.039","-0.027",,30.7,10.2,39.8,"98.417159318","93.543557614",20.4,40.3
"Freeman, Freddie",518692,2020,30,214,262,73,36,23,1,13,37,45,14.1,17.2,".341",".640",".462","1.102","0.299",".366","53","60","3",".343",".663",".456",".466",".463",".320",".495",".509",".412",".415","-0.002","-0.023","-0.010",,49.2,14.7,54.2,"101.812650227","95.798406705",20.1,48.2
"Cabrera, Asdrúbal",452678,2020,34,190,213,46,26,9,3,8,40,19,18.8,8.9,".242",".447",".305","0.752","0.205",".260","31","52","0",".243",".429",".319",".317",".307",".186",".355",".353",".299",".302","-0.001",".018",".002",,30.5,6.5,38.3,"97.982868684","93.323023224",20.5,46.1
"Hicks, Aaron",543305,2020,30,169,211,38,20,10,2,6,38,41,18,19.4,".225",".414",".379","0.793","0.189",".256","21","54","1",".256",".435",".351",".374",".405",".179",".344",".380",".290",".331","-0.031","-0.021","-0.023",,29.8,6.9,38.2,"99.738009846","93.99654093",27.9,39.4
"Solano, Donovan",456781,2020,32,190,203,62,43,15,1,3,39,10,19.2,4.9,".326",".463",".365","0.828","0.137",".396","29","54","2",".278",".417",".357",".320",".320",".139",".421",".372",".408",".348",".048",".046",".037",,43.4,4.6,34.9,"98.263815526","93.264044768",22,51.9
"Tatis Jr., Fernando",665487,2020,21,224,257,62,32,11,2,17,61,27,23.7,10.5,".277",".571",".366","0.937","0.294",".306","45","59","5",".297",".614",".392",".422",".386",".317",".479",".526",".378",".409","-0.020","-0.043","-0.030",,32.3,19.5,62.2,"105.418141463","98.319840671",28.2,47
"Santana, Carlos",467793,2020,34,206,255,41,26,7,0,8,43,47,16.9,18.4,".199",".350",".349","0.699","0.151",".212","30","60","1",".251",".448",".316",".372",".393",".196",".289",".375",".250",".318","-0.052","-0.098","-0.056",,32.3,6.7,36.6,"99.260366296","93.650599074",20.6,36.3
